content,label,at                       
Sangat membantu.mksh,1,43871.16736
Aplikasi tidak jelaa,-1,43871.17292
Bentar bentar update. Kualitas sama tidak ada pembaharuan apa apa. Punya pmerintah malah kaya sampah,-1,43871.19097
Good,1,43871.20278
Aplikasi ????,-1,43871.2125
sangat membantu šŸ˜ŠšŸ˜Š,1,43871.2125
Ok,1,43871.23264
Leletttttt,-1,43871.23889
Sangat baik,1,43871.25347
Tidak bisa login,-1,43871.28125
Sering banget Update   ,-1,43871.29306
Good,1,43871.30139
Tidak bermutu,-1,43871.30972
Update terussss,-1,43871.31042
Maaf saya kurangin bintangnya karena keseringan update dan tidak menerima saran dari masyarakat agar tidak keseringan update,-1,43871.32361
Katanya memberikan kenyamanan tapi kenapa aplikasi ny sllu mnta di update hal ini salah satu faktor yang membuat pelanggan/pemakai aplikasi yang katanya mempermudah mlah membuat ketidaknyamanan.. Hrap di perhatikan admin sbagai bhan evaluasi..trims,-1,43871.32639
Aplikasi goblok ! Gag guna,-1,43871.32847
mau menambahkan anggota keluarga kok gagal terus ya  ke kantor cabang tidak dapat kuota mau daftar online susah  mengecewakan  šŸ˜¤,-1,43871.33403
Tidak bisa login nomor hpnya. tidak bisa di verfikasi ini gimana yaa padahal butuh tapi tidak bisa di pakai,-1,43871.3375
Aplikasinya lemot  jaringan intranet stabil tapi gagal mulu. Payah. Mohon segera diperbaiki  gunakan SDM khususnya IT nya yang bermutu dan sigap,-1,43871.33819
Masa update terus tiap minggu  aplikasi jelek. Tolong pihak aplikasi mobile jkn bkin aplikasi bpjs yang bagusan donk,-1,43871.34236
tidak bisa dilogin..udh diikut cara dr youtb msh tidak bs..dilogin kty belum trdaftar..daftr dsruh login..tlg perbaiki biar org tidak kesal dg aplikasi in..lg pl tidak ad aplikasi lain tk login,-1,43871.34583
Aplikasi ini susah betul kenapa juga di terbitkan aplikasi yang semacam ini kalau tidak bisa di prrgunakan aku hapus aja aplikasi yang begian,-1,43871.35
Lemot anjim,-1,43871.35764
Pas mau dipakai ndadak update lagi update lagi. Update teroooossss,-1,43871.36389
Yaampun susah banget sih login nya lama banget buruk bgt iniiiiiiii,-1,43871.37083
Ok,1,43871.37292
Ini giliran udah daftar dibilang nomor sudah terdaftar. Gimana sih.,-1,43871.375
Aplikasi koq minta update terus  BPJS tlg minta bantuan tenaga ahli dibidang IT yang kompeten dan benar2 ahli dibidangnya  biar tidak seperti gini aplikasinya,-1,43871.37847
Sepertinya admin harus mbut aplikasi ini lebih baik da lebih mudah... Soalnya buruk sekali  mau ubah data tidak bisa  pasti transaksi gagal terus...,-1,43871.38194
kalau belum siap jugan publis dulu. Masa iya penggunaan transaksi gagal...,-1,43871.38889
Kenapa setiap mau buka selalu dsuruh update update dan update,-1,43871.40417
Apa2an sih ini bentar2 update . Makin bagus tidak makin ancur iya.,-1,43871.41806
Sangat membantu untuk peserta BPJS,1,43871.41875
terima kasih BPJS,1,43871.45694
T o p,1,43871.46181
Perfect,1,43871.46875
Update Terus kalau Mau Masuk  apakah karena Google nyuruh update 1 bulan sekali.,-1,43871.47222
Mantap,1,43871.47639
Hapus aja ini aplikasi tidak berguna,-1,43871.47986
Good,1,43871.48403
Ok,1,43871.48611
Woy... Kalian bisa baca keluhan pelanggan gak.!!!! Jangan update tiap hari woy.. Aplikasi paling sampah yang pernah ada !!!!!!!!,-1,43871.48611
Mau login katanya belum terdaftar.. padahal udah pernah daftar.. Mau daftar katanya suruh login karena sudah terdaftar... Ini aplikasi apa sih,-1,43871.49028
Kenapa sih dikit dikit kok update  mau dipakai kok update  giliran cek minta diupdate  kalau tidak diupdate tidak bisa ngecek  heran  menuh menuhin memori hp sajaa,-1,43871.50972
Kita bisa cek & perubahan data lewat aplikasi ini,1,43871.52292
Mantap,1,43871.53403
Pokonamah bagus we laah...,1,43871.53889
Menakjubkan,1,43871.54028
Saya sangat puas dan terbantu dg ada nya app Mobile JKN good app.,1,43871.56111
Ok,1,43871.57569
Tiap buka jkn kok suruh update terus..kesel,-1,43871.58681
Sangat bermanfaat sekali karena terdata dengan baik. Bisa memberi ulasan dan rating faskes. Bisa melakukan pengaduan dan daftar faskes online.,1,43871.59653
Baik,1,43871.61042
Good,1,43871.64097
Terlalu sering update ... ,-1,43871.67778
Tambah siippp,1,43871.68056
mantap sangat membantu,1,43871.84306
Ok,1,43871.92153
Sangat membantu,1,43871.96736
Luaar biasa,1,43871.98958
Update mulu  gapenting,-1,43900.04583
Mantap,1,43900.09722
Kenapa tidak bisa login saya udah masukin nomer bpjsnya  dan tiap bulan saya bayar!,-1,43900.10278
Ok,1,43900.10278
Sudah di daftar kenapa sllu muncul tulisan Transaksi belum dapat di proses sih. Aplikasi apaan ini,-1,43900.12778
Cukup membantu peserta bpjs,1,43900.16389
Aplikasi tidak layak  mindahin faskes aja bisa salah..,-1,43900.16944
eror aja ini aplikasi,-1,43900.21736
Paling goblok ini aplikasi  loading terus dan gagal terus  mau cek pembayaran sama cek va aja tidak bisa  gimana nih  masa tidak ada tindakan untuk maintance nih supaya lebih baik?!!!!,-1,43900.22708
Top lah,1,43900.23542
Bagus,1,43900.26736
Dengan aplikasi Mobile JKN sangat membantu saya untuk mengontrol pembayaran iuran saya.,1,43900.30278
Maaf jkn saya ingin kartu bpjs saya aktif kan tapi saya tidak punja bayar tungakan nja hampir3jt ber4.,1,43900.32778
Udah selesai daftar tapi tidak bisa login  mohon segera diperbaiki karena pelayanan offline di batasi.,-1,43900.34097
Bener bener sangat membantu aplikasi ini,1,43900.36806
Udah tidak ada kemajuan. Malah makin jelek makin menyusahkan orang saja. Udah terlanjur periksa ke dokter eh pas di buka malah tidak dapat di proses,-1,43900.41042
Emang boleh wong kono kuh lurrr,1,43900.43194
Zip,1,43900.45486
Oke,1,43900.47083
Oke,1,43900.47361
Sbelum logi saya ksi 1 bintang sajaa  krna saya bnyak lihat komentar krang bgus di aplksi ini,-1,43900.5
Ok,1,43900.50833
Good,1,43900.50833
sukses selalu,1,43900.55833
Aplikasinya tidak dapat di akses,-1,43900.57083
Verygood,1,43900.66736
like,1,43900.70486
Mantap mempermudah aktifasi.. Tambahin fitur BOKING kamar yang link ke RS kalau bisa. Banyak rumah sakit berengsek yang cari untung... Kamar kls 1 kosong terus. Kls 2 antrian. Klas 3 mau tidak mau terpaksa. Tetep di rincian tagihan RS tertulis KELAS 1. Mana kalau pas jam jenguk pasien udah seperti pasar kaget dadakan berisik kls 3. yang sakit butuh istirahat boy ngotak dikit...,1,43900.76111
1.Mudah pindah k doktor rujukan yang kita inginkan. 2 tak perlu bawa kartu JKN. Cukup di ponsel,1,43900.85
Ok  banget,1,43900.89236
kenapa coba lagi coba lgi..heran dah,-1,43900.90069
Sangat membantu dan lebih praktis untuk ngecek2,1,43900.97083
Setelah update  kok menu catatan pembayaran nya jadi tidak ada. terus cara cek nya gimana.,-1,43900.97083
Setelah upgrade tidak bisa di buka!,-1,43900.97292
Ga bisa dipakai. Mau daftar baru aja tidak bisa. Telp cs  diarahin ke sini  masih aja tidak bisa,-1,43931.00694
Aplikasi ini tidak bisa di gunakan  saya coba daftar selalu jawabnya nya nik tidak terdaftar. Coba di perbaikin sistem nya baru diarah kan mengunakan aplikasi ini. Sangat tidak membantu,-1,43931.01944
Kurang perfeck,-1,43931.03333
Kebanyakan loading..pencet sini loading pencet sana loading..apa guna nya? masa pemerintah gabisa bikin aplikasi yang bagus kinerja nya,-1,43931.04236
Ok,1,43931.07569
Selalu tidak bisa daftar  alasannya tanggal lahir tidak sesuai padahal data yang dimasukan sudah sama dengan kartu kis...,-1,43931.08194
Setelah update aplikasi tambah mengecewakan  sekarang serba online tapi aplikasi tidak dapat dioperasikan bagaimana kita masyarakat mau mtidakses layanan kesehatan digital kalau terus menerus mengalami masalah seperti ini. Ini tidak ada perubahan pelayanan yang lebih baik setelah pandemi datang semua jadi bleng. Kami mau mtidakses lewat apa kalau offline pun ditutup. Tolong diperhatikan masalah seperti ini.,-1,43931.08889
Gampang lihat faskes 1,1,43931.09028
Transaksi belum dapat di proses terus pdhl udah upgrade tak kira jaringan nya tpi ko hampir tiap kali chek kya gtu terus sih  harusnya kn bisa mempermudah dg adanya aplikasinya ini ko eror mulu,-1,43931.10417
Parah ini aplikasi. Mau ganti faskes aja susah !!! Update melulu !!! Kualitas ditingkatkan dong !!!!,-1,43931.10833
Good,1,43931.11319
Baik,1,43931.12222
eror   logout sendiri   di update juga sama aja   ,-1,43931.13958
"Aplikasi apaan eror gini, tidak dapat di gunakan, padahal kemaren"" lancar sebelum update, giliran di update eror",-1,43931.13958
Upgrade abadi.,-1,43931.14375
Aplikasi dari instansi pemerintah kok seperti gini   mana tidak ada respon dari semua komentar  ini mah bukan membantu tapi mempersulit,-1,43931.15347
G bisa daftar ulang. Katanya wajib. Wajib bayar sampe mati,-1,43931.15972
Mohon pihak BPJS aplikasinya diperbaiki lagi biar lebih mantep. masa setiap kali buka app harus update dulu  kalau tidak di update tidak bisa dibuka.. Kebanyakan tidak dapat diproses.. Tujuan dibikinnya aplikasi kan untuk mempermudah pelayanan kepada peserta bukan malah menyulitkan.. terima kasih.. Semoga kedepannya lebih baik lagi..,-1,43931.1625
Transaksi belum dapat diproses terus....terus kapan dapat diprosesnya...10 tahun lagi ? Prreettt lahhh...jancuuukk,-1,43931.16389
Captha nya tidak muncul  gmn,1,43931.17778
Cape ngeupdate terus...kadang sampe tidak bisa diupdate jadi harus dihapus dulu baru nginstal lagi,-1,43931.18333
Sangat bermanfaat,1,43931.18819
Good,1,43931.19375
Parah cek peserta sama kartu aja tidak bisa.loading doang.padahal sinyal bagus bgt,-1,43931.20208
Cara cepat  progress cepat sangat berarti buat masyarakat miskin,1,43931.21806
Aplikasinya coba lagi terus saat mau daftar tolong diperbaiki bos saya kasih bintang 5 supaya cepat diperbaiki salam bpjs kesehatanl,1,43931.21944
ko kagak bisa login,-1,43931.24931
Percumah juga login berkali kali jawabannya transaksi tidak dapat di proses,-1,43931.25
Mudah dan ramah pengguna.,1,43931.26111
sangat membantu sekali,1,43931.28125
ok,1,43931.29861
Apaan ini setelah di update tidak bisa masuk parah,-1,43931.30903
Bagus,1,43931.32431
Aplikasi setelah di update malah berat. Klik kartu peserta atau peserta aja lebih dari 1 menit dan ujungnya gagal. Sudah clear cache  sinyal oke  HP oke. Ada solusi?,-1,43931.33403
Ok,1,43931.34583
Bagus,1,43931.35764
di update malah tidak bisa login . . . .gini amat,-1,43931.37431
Mobile JKN ok punya,1,43931.38125
huuhhh...susah masuk yh ggl.mulu,-1,43931.39514
Ok,1,43931.41667
Good,1,43931.43056
"""Transaksi belum dapat di proses, silahkan coba beberapa saat lagi"" Bagaimana ini????",-1,43931.43125
Gimana ini aplikasi saya mau login lupa password tapi tidak di kirim juga password saya di email parah,-1,43931.43681
Kok akhir2 ne tidak bisa login Ket eror trs,-1,43931.44028
Mohon maaf saya kasih bintang 1 karena menurut saya masih banyak kekurangan yang harus di perbaiki  saya pengguna baru bpjs dan saya sangat awam. Tapi dari informasi yang saya baca dri berbagai sumber apabila kita sudah mentransfer uang pembayaran kita akan mendapat info lbih lanjut yang di kirimkan melalui email tapi sudah 2 hari brlalu saya belum juga mndapatkan email yang di maksud  saya coba login tapi di situ saya tertera belum terdaftar sedangkan saya coba mendaftar baru dsitu saya sudah terdaftar.,-1,43931.44375
Nice,1,43931.45
Sip apkikasinya pengelolaanya yang amburadul,1,43931.45556
Mudah di pahami,1,43931.475
Di update kok jadi lemot unt membuka šŸ˜?šŸ˜?šŸ˜?,-1,43931.47708
Aplikasi bobrok,-1,43931.48889
Aplikasi apaan ini masa udah 4 november jugaa tidak bisa2 jugaa..,-1,43931.50069
Sangt baik dan membantu org yang tidak mampu,1,43931.50278
Gak bisa di login.. jangan zolim buat aplikasi  download butuh kuota  pakai duit  ... Mohon di perbaiki aplikasinya.,-1,43931.51181
Ribet!! Setiap buka harus minta di update terus2,-1,43931.51319
Good,1,43931.51528
Sangat membantu saya,1,43931.51597
Makin kemari makin kurang bagus jkn huef,-1,43931.52153
Terima kasih Mobile JKN pindah faskes jadi tidak ribet  ,1,43931.53958
"APLIKASIII TOLOL!!! GAGAL MLU MAU DAFTAR ISI NOMER HP tidak BISA""!!! MANE KATANYA BAGUS CEPET tapi LOLA!!!!",-1,43931.54792
gimana caranya untuk pindah dokter,1,43931.55
disuruh update terus  uda diupdate suruh update lagi  uda di update disuruh apdate lagi.. tidak bagus aplikasi nya padahal jaringan ada,-1,43931.55
Giliran di butuhin penting ini aplikasi eror terus,-1,43931.56319
Kerenn,1,43931.56597
Baik,1,43931.56667
Setelah diupdate kok malah tidak bisa digunakan.. mohon segera diperbaiki,-1,43931.56667
Kok abis diperbarui malah gabisa diakses sih  transaksi belum selesai mulu  kira2 kenapa ya ih kesel,-1,43931.56944
Susah login. Tidak tersedia terus padahal sudah sesuai yang diisikan,-1,43931.58403
Semakin buruk Kbanyakan dsurun update Tpi malah tambah buruk tolong diperbaik kalau kseringan update ngabisin kuota saja tpi sistem buruk Sangat mengecewakan,-1,43931.59236
Hanya saja saya bingung. Kalau dari puskesmas kasih surat rujukan ke RS katanya berlaku 3 bln. Tapi nympe RS katanya lain lagi  dokter yang bersangkutan cuma bilang surat rujukan berlaku 1bln aja  kata dokternya pihak BPJS marah2 kalau pasiennya di tahan di RS lama2. Walau pasiennya masih perlu chek up terus menerus karena tidak ada perubahan. Tapi ya sudahlah. Kita yang dibawah tidak bisa apa2.,1,43931.59931
Stlh updet mlahn tidak bisa kebuka   Payah   ,-1,43931.62361
Mind numpang tanya nomor hp sudah digunakan itu apa Sedangkan saya baru mau masuk login daftar,1,43931.65208
mantap,1,43931.67708
Mantap šŸ‘¨,1,43931.71458
Aplikasinya krang mendukung.....sruh daftar lagi padahal udah masuk akun...,1,43931.74722
Peserta mandiri wajib instal app ini  tapi servernya sering eror... Bnyak penghargaan pelayanan terbaik tapi akses ke app mobile šŸ‘?,-1,43931.88264
Memudahkan dalam pendaftaran,1,43931.93125
Aplikasi tidak berguna. Verifikasinya membutuhkan biaya dan suka bermasalah. Payah sekali.aplikasi yang banyak masalah. Jika belum siap mengapa diluncurkan,-1,43931.94653
Good,1,43931.95556
Oke,1,43931.95764
Bintang di kurangin dulu...soal'y dr tadi aplikasi cuman muter2 doang...kalau akun udah pas,-1,43931.99722
Nomer verifikasi tidak dikirim  gimana mau daftar,-1,43961.00694
Mudah sekarang tidak sulit ubah data,1,43961.01667
Pelayanan nya sangat memuaskan,1,43961.02569
Ampas,-1,43961.05069
Mantap,1,43961.05278
Ok,1,43961.06736
membantu,1,43961.06806
Tidak bisa login,1,43961.06806
Mantap,1,43961.06875
Terima kasih sangat membantu,1,43961.07222
Terimakasi telah memberikan pelayanan pada saya smg bermamfaat seterusnya,1,43961.07292
Ok,1,43961.075
Ok,1,43961.07569
Update terus update terus....kalau tidak di update tidak bisa dibuka  aplikasi kurang bermutu...!!,-1,43961.07708
Bagus,1,43961.07778
Bermanfaat,1,43961.07986
Membantu,1,43961.08125
Ok,1,43961.08125
Kemarin anak saya sakit dan harus segera di rawat  saya tidak ingat nomor bpjs anak saya  saya coba buka aplikasi jkn Mobile tidak bisa di buka  saya coba hapus aplikasi dan download lagi  ternyata sama saja tidak bisa di buka..sehingga sempat terlantar anak saya..sekarang anak saya telah sembuh  dan aplikasi ini masih belum bisa terbuka..,-1,43961.08125
Bagus,1,43961.08194
Ok,1,43961.08194
Sok sokan nyuruh peserta cek ulang  sistem malah belum siap  klw ada bintang 0 saya kasih bintang 0,-1,43961.08333
ok,1,43961.08611
Sangat membantu,1,43961.08681
Update terus. tidak bisa apa per 6 bln. Kuota menipis.,-1,43961.0875
Mantap.,1,43961.08819
Ok,1,43961.08819
transaksi belum dapat di proses silahkan Tunggu beberapa saat lagi... sampai kapan ? tiap masuk aplikasi ini selalu Jawabannya itu itu mulu..pusiaaang,-1,43961.08819
Lebih cepat bisa buka aplikasinya,1,43961.09028
šŸ™¸,1,43961.09028
Sudah bagus  tingkatkan terus,1,43961.09306
Ancur parraaah... sebagai org IT  yang bikin aplikasi ini paraah bgt.. tidak bisa ngapa2in.. Ud bersabar buka tutup buka tutup masih tidak berhasil ngapa2in.. parraaaah,-1,43961.09306
Sangat membantu,1,43961.09444
Mantap dan terus kembaran agar kebutuhan masyarakat lbh mudah,1,43961.09514
Dgn ada BPJS km sangat terbantu smg BPJS melayani dengan sepenuh hati,1,43961.09583
Sangat membantu,1,43961.09722
Oke,1,43961.09722
Bisalah,1,43961.09931
Hhh,1,43961.1
Membantu sekali,1,43961.10069
"*Saya sudah berbagai cara untuk login ke mobile jkn tpi jawaban server server dan server šŸ˜?, sudah berbagai cara pula untuk bayar tapi jawaban nya tidak bisa mekakukan transaksi padahal saldo sangat mencukupi . ""*Dua kata untuk mobile JKN : TEMANCOK BECENG*""šŸ˜?šŸ‘?",-1,43961.10069
Udah terdaftar BPJS JKN namun sampe sekarang tidak dapat kartu bpjs gmnh login k Mobile JKN,-1,43961.10139
Aplikasi mudah dipakai,1,43961.10208
Good,1,43961.10417
Aplikasi ini sangat membantu,1,43961.10417
Mantab,1,43961.10417
Bermanfaat sekali,1,43961.10486
Membantu saat seperti ini,1,43961.10486
keren,1,43961.10625
Mantep,1,43961.10833
Mantap,1,43961.10972
Sering banget sih update!,-1,43961.11042
Sangat membantu sekali.,1,43961.11111
Oke,1,43961.11181
Aplikasi memuakan suruh daftar dari aplikasi tapi tidak bisa daftar di sini memuakan,-1,43961.1125
Sangat membantu aplikasinya jdi tidak repot lagi k kantor bpjs lagi dalam pengurusan pindah faskes.... terima kasih MOBILE JKN,1,43961.11319
Tolong min  ini aplikasinya minta diupdate terus šŸ˜µšŸ˜µšŸ˜µ kalau sudah baikkan insyaAllah nnti bintangnya ditambah lagi.. Makasih ya min..,-1,43961.11319
bagus dan tingkatkan lagi,1,43961.11875
Cepat dan mudah,1,43961.11944
Ok,1,43961.12014
Aneh eror mulu,-1,43961.12014
Sangat membantu sekali buat saya & keluarga saya untuk biaya berobat...trims jkn,1,43961.12083
Di update bukan nyah tambah bagus malah tambah ancurr..mw buka apliksi eror melulu..hey..kouta gua masih ada jaringan gua bagus....jaringan Malulu..gelo..šŸ˜¤..aing buka nu lain bisa..ie doang aplikasi gelo...ke update dei nyah nu joreešŸ˜,-1,43961.12153
Oke,1,43961.12153
Semakin lengkap fiturnya makin keren,1,43961.12292
Tiap buka disuruh update mulu,-1,43961.12361
Lemot  susah login  gagal terus,-1,43961.12431
Mntaap,1,43961.12778
Tiap kali buka pasti harus di update  baru smnggu update udah harus update lagi,-1,43961.12778
Sayang ny di penyelesaian akhir kok daftar autodebetnya nnga bisa terus...cba hub ke contack center...salular sedang sibuk...šŸ™„šŸ™„,1,43961.12986
Good,1,43961.12986
"Peserta baru.. Mudah""n insyaallah lancar bayar tiap bln nya and mudah""n juga bermanfaat mengikuti peserta BPJS Kesehatan",1,43961.13056
Baik sekali.,1,43961.13125
Membantu,1,43961.13194
Sangat Bermanfaat,1,43961.13194
Sulit dibuka,-1,43961.13264
Ok,1,43961.13333
Sangat bermanfaat,1,43961.13333
ok,1,43961.13403
Sangat membantu,1,43961.13403
Baik,1,43961.13472
Sangat membantu.terima kasih,1,43961.13542
Ok,1,43961.13611
Bagus,1,43961.13611
josss,1,43961.13611
Aplikasi kok koyo ngene to mas...  transaksi tidak bisa di proses.. Silahkan coba beberapa saat lg.. Iku sing salah sopo toh...,-1,43961.13681
baik,1,43961.1375
Ok,1,43961.13819
Setelah diperbaharui malah tidak bisa dibuka  tolong diperbaiki segera,-1,43961.13889
Bagus,1,43961.13889
Ok,1,43961.13889
Awsome,1,43961.14028
Aktivasi,1,43961.14028
aplikasi payah .. .mau rubah data peserta tidak bisa bisa .,-1,43961.14236
Mantap,1,43961.14236
Sangat membantu dan bermanfaat,1,43961.14444
JKN KONTON KAMPANG  lagi butuh aplikasi eror  TOLOL,-1,43961.14514
Sangat membantu,1,43961.14514
sangat membatu,1,43961.14514
Oke bgt,1,43961.14583
Sangat membantu......šŸ˜¨šŸ˜¨šŸ˜¨šŸ˜¨,1,43961.14583
Sangat bermanfaat,1,43961.14653
Good,1,43961.14722
terima kasih ... sangat2 membantu..,1,43961.14861
Oe,1,43961.14931
Good,1,43961.15
Lanjutkan,1,43961.15069
Informasinya cepat,1,43961.15139
Met siang..mhn bpjs kesehatan untuk lbh sering sosialisai atau update tentang peraturan2 baru sprti info tentang anak yang msh dikandungan itu hrus ikut bpjs atau ckup ibunya saja..mksh...bravo bpjskes...,1,43961.15208
Bagus,1,43961.15278
Ok,1,43961.15417
sudah du uprgd jadi susah terakses,-1,43961.15486
Baik,1,43961.15556
Semoga bisa berjalan dengan lancar,1,43961.15694
Sayah sangat terbantu,1,43961.16111
Mantap,1,43961.16111
Bisa ter record penyakit yang sudah pernah konsul. Bagus,1,43961.1625
Nice,1,43961.16319
Tiap bulan pembaruan terus ..,-1,43961.16319
Mudah difahami...,1,43961.16389
Good,1,43961.16389
Ok,1,43961.16458
Tiap buka mobile jkn  tiap itu juga mnt update  huf,-1,43961.16458
Aplikasi anjiim,-1,43961.16458
Ok,1,43961.16597
Ini gimana sih saya mau buka ko tidak bisa bisa. Udah saya update tidak bisa .. Ko makin ke sini makin di persulit ya .. Aneh lama lama .. Awal awal msh bisa sekarng tidak bisa,-1,43961.16667
Ok,1,43961.16736
Gampang dan efektif,1,43961.16736
Sangat membantu sekali,1,43961.16806
Sangat membantu,1,43961.16875
Minus.. Tiap bulan harus upgrad..,-1,43961.16944
Bagus...,1,43961.17083
Selalu mau diupdate. Bikin jengkel aja,-1,43961.17153
Ini aplikasi susah banget buat daftar baru..bagian IT tidak profesional banget. Mau 3 jam tidak bisa daftar2 lagi cuma mendapatkan nomor otp hp aja susah banget.,-1,43961.17361
Nice good,1,43961.17361
Sangat membantu,1,43961.17361
Kenapa saya tidak bisa mendaftar ke mobile jkn/kis ? Padahal nomer sama alamat email saya sudah benar dan aktif tapi kenapa setiap saya masukkan nomer hp saya tidak bisa masuk kode verifikasinya ?,-1,43961.17431
Semoga menu dan penjelasannya mudah di pahami,1,43961.175
Minta di update terus,1,43961.17708
Asik pembaruan terus ini aplikasi...asal di pakai minta pembahurauan terus...šŸ˜”,-1,43961.17847
FeryGood,1,43961.17917
Membantu,1,43961.17986
Memuaskan,1,43961.18056
Sebel bgt tiap Kali di buka minta update mulu huffftt,-1,43961.18125
Jkn memudahkan mendaftr BPJS  ubah data ubah faskes dan sekarang mudah mutasi PT ke mandri. Jkn mobile mantap,1,43961.18333
Terima kasih BPJS,1,43961.18333
Yo banyak iklan dan lelet,1,43961.18403
Sangat membantu,1,43961.18542
Mantap,1,43961.18542
Bisa akses Informasi terkini,1,43961.18611
terimaksh,1,43961.18681
Ini gimana si. Koq transaksi tidak dapat di proses terus ihhh.. kesel,-1,43961.18681
Pelayanan baik semua,1,43961.18681
Senang ada aplikasi BJS,1,43961.1875
Good,1,43961.18958
Bermanfaat,1,43961.18958
kenapa setelah di update susah di buka.,-1,43961.19236
Bagus,1,43961.19375
Membantu informasi ..,1,43961.19444
Susah banget dapetin kode OTP via SMS gagal terus  padahal nomor dan formatnya udah betul,-1,43961.19514
Bpjs mantap dah,1,43961.19583
good,1,43961.19583
tidak ada kendala sesuai program,1,43961.2
Mempermudah,1,43961.20208
Mantap,1,43961.20347
Makin Mantap.. Ta kasih 5 bintang yc šŸ‘¨šŸ™¸,1,43961.20417
Ok,1,43961.20486
Ok,1,43961.20556
Belum pernah pakai sih  baru install sekarang. Kasih bintang 5:karena pelayanan PANDAWA nya sangat membantu šŸ˜šŸ™¸šŸ™¸šŸ‘¨šŸ‘¨šŸ‘Œ,1,43961.20764
Mohon aplikasi diperbaiki kembali karena ketika dibuka muncul keterangan tidak dapat diproses dan silahkan coba beberapa saat lagi,-1,43961.21111
Okey,1,43961.21319
Mantabz,1,43961.21319
Sangat terbantu,1,43961.21389
šŸ‘¨,1,43961.21597
Angat baik,1,43961.21667
APLIKASI LEMOT  RAGU saya BAYAR PERTAMA KALI NYA JUGA TAKUT NYA MALAH MAKIN BERMASALAH.....,-1,43961.21736
Mudah pindah faskes,1,43961.21736
Good apps,1,43961.21736
Ini kenapa yah tidak bisa digunaian eror mulu,-1,43961.21806
Sangat bagus,1,43961.22014
Sangat membantu........mantul pokoke,1,43961.22014
Bermanfaat ...,1,43961.22431
Ok,1,43961.22431
Baik,1,43961.225
Alahduliah   ada nya app ini   lebih praktis  ansuran    tunggakan bisa di cicil  ,1,43961.22639
Sangat membantu,1,43961.22639
Kkk,1,43961.22708
Ok,1,43961.22917
Mantap,1,43961.22986
Sangat membantu,1,43961.23125
Terima kasih  SUKSES selalu mobile JKN,1,43961.23125
Maju terus,1,43961.23403
Terlalu sering update . Masa update 1 minggu lebih dari 1 kali..,-1,43961.23403
Sangat membantu,1,43961.23403
Baik,1,43961.23542
Ok,1,43961.23958
Ok,1,43961.24097
terimasih telah membantu. Saya,1,43961.24583
Ga bermutu !!selalu gagall,-1,43961.24653
Senang cepat masuk pembayaran,1,43961.24792
Alahmdulilaj dg adanya aplikaai jkn saya bisa lebih mudah cek iuran bpjs keluarga,1,43961.24931
Abtab,1,43961.24931
Ok,1,43961.25
Ok,1,43961.25278
Sangat baik,1,43961.25347
Ok,-1,43961.25347
šŸ‘ŒšŸ‘ŒšŸ‘Œ,1,43961.25347
Nice,1,43961.25417
Bagus .... sangat mempermudah pembaharuan,1,43961.25486
Sangat membantu,1,43961.25486
Aku suka Mobile JKN. disini aku bisah melihat apakah saya bisah mendapatkan dana BPJS. Atau tidak dan bisah melihat apakah bpjs saya sudah terbayar atau belum,1,43961.25556
good,1,43961.25694
Nice,1,43961.25764
Mntaap,1,43961.25833
Mau tanya kalau mendaftarkan anggota baru gmn ya untuk calon bayi istri saya lom lahiran,1,43961.26111
Diupdate palah bobrok   ,-1,43961.26181
Aplikasi edan  lagi sedang butuh-butuhnya malah tidak bisa di buka.,-1,43961.2625
?™?,1,43961.26319
Oke,1,43961.26389
Lambat bener nih aplikasi tidak bisa ngapa2ain payah lah,-1,43961.26458
Good,1,43961.26458
Ok,1,43961.26528
Updet melulu...bikin repot bikin ribet bikin jengkel bikin bikin bikin bol mpot2an,-1,43961.26597
update aja teruss smpe upin ipin jadi gede šŸ˜Œ,-1,43961.26875
Susah sekali mau buka ini aplikasi kalau pada saat keperluan mendadak bagai mana ini,1,43961.26944
Hadeh Daftar sampek ambyar tidak bisa2 Aplikasi apa ini  tidak guna sama sekali,-1,43961.27153
šŸ˜˜šŸ˜˜šŸ˜˜,1,43961.27222
kenapa setiap buka aflikasi harus update terus,-1,43961.275
Terimkasihh,1,43961.275
Aneh login menggunakan data diri pribadi sendiri tetapi slalu salah atau tidak terdaftar pdhl itu data diri asli tolong di tingkat kan untuk aplikasi nya karena sangat banyak sekali orang yang membutuhkan šŸ™¸,-1,43961.275
ok,1,43961.27569
Makin kesini makin buruk. Sering di update bukanya makin bagus malah makin amburadul.. Kalau tidak bisa bikin aplikasi mending jangan bikin deh. Tiap login tidak bisa. Apa apaan..!!!!!,-1,43961.27569
Bagus,1,43961.27639
Bagus,1,43961.27639
aplikasi aneh. padahal sudah bayar bpjs untuk bulan desember ini. tapi status masih belum aktif. tidak apdet sm sekali. payaah,-1,43961.27778
lemooottttttt........... tidak ada guna aplikasi ini... jangan di download .. percuma...,-1,43961.27778
buruk sekali aplikasi abal-abalšŸ¤•,-1,43961.27986
Keren,1,43961.27986
Aplikasi Tolol,-1,43961.28403
Mantabb,1,43961.28472
terima kasih JKN MOBILE,1,43961.28819
Bagus,1,43961.29236
Belum pernah saya gunakan,1,43961.29306
Praktis pindah faskes. ..,1,43961.29792
Keren,1,43961.30208
